year,state,month,number,date,area,rain,wind,temp
2010,Acre,jun,1,01/01/2010,0,0,3.6,22.8
2011,Acre,jun,10,01/01/2011,0,0,2.7,18.9
2012,Acre,jun,7,01/01/2012,0,0,7.6,15.8
2013,Acre,jun,8,01/01/2013,0,0,6.3,15.5
2014,Acre,jun,17,01/01/2014,0,0,6.3,11.6
2015,Acre,jun,40,01/01/2015,0,0,4.9,15.2
2016,Acre,jun,87,01/01/2016,0,0,4,10.6
2017,Acre,jun,45,01/01/2017,0,0,3.1,19.6
1998,Acre,jul,37,01/01/1998,0,0,2.2,10.3
1999,Acre,jul,1,01/01/1999,0,0,5.4,17.1
2000,Acre,jul,1,01/01/2000,0,0,5.4,22.5
2001,Acre,jul,3,01/01/2001,0,0,3.1,17.9
2002,Acre,jul,39,01/01/2002,0,0,5.4,19.8
2003,Acre,jul,168,01/01/2003,0,0,5.4,20.6
2004,Acre,jul,42,01/01/2004,0,0,2.2,9
2005,Acre,jul,368,01/01/2005,0,0,3.1,17.2
2006,Acre,jul,33,01/01/2006,0,0,3.6,15.9
2007,Acre,jul,29,01/01/2007,0,0,0.9,15.4
2008,Acre,jul,41,01/01/2008,0,0,2.7,15.4
2009,Acre,jul,31,01/01/2009,0,0,3.1,14
2010,Acre,jul,126,01/01/2010,0,0,4.9,10.6
2011,Acre,jul,93,01/01/2011,0,0,3.1,17.6
2012,Acre,jul,71,01/01/2012,0,0,2.7,14.9
2013,Acre,jul,54,01/01/2013,0,0,5.8,17.6
2014,Acre,jul,60,01/01/2014,0,0,1.3,17.2
2015,Acre,jul,109,01/01/2015,0,0,3.1,15.6
2016,Acre,jul,533,01/01/2016,0.36,0,2.7,18
2017,Acre,jul,457,01/01/2017,0.43,0,2.2,21.7
1998,Acre,aug,130,01/01/1998,0.47,0,1.8,21.9
1999,Acre,aug,63,01/01/1999,0.55,0,4.5,23.3
2000,Acre,aug,136,01/01/2000,0.61,0,8.9,21.2
2001,Acre,aug,396,01/01/2001,0.71,0,5.4,16.6
2002,Acre,aug,728,01/01/2002,0.77,0,5.4,23.8
2003,Acre,aug,1.976,01/01/2003,0.9,0,4,27.4
2004,Acre,aug,645,01/01/2004,0.95,0,5.4,13.2
2005,Acre,aug,4.198,01/01/2005,0.96,0,3.6,24.2
2006,Acre,aug,839,01/01/2006,1.07,0,6.7,17.4
2007,Acre,aug,960,01/01/2007,1.12,0,4.5,23.7
2008,Acre,aug,445,01/01/2008,1.19,0,5.4,23.2
2009,Acre,aug,194,01/01/2009,1.36,0,2.2,24.8
2010,Acre,aug,1.682,01/01/2010,1.43,0,1.8,24.6
2011,Acre,aug,425,01/01/2011,1.46,0,4.9,20.1
2012,Acre,aug,739,01/01/2012,1.46,0,2.7,29.6
2013,Acre,aug,679,01/01/2013,1.56,0,1.3,16.4
2014,Acre,aug,1.1,01/01/2014,1.61,0,2.2,28.6
2015,Acre,aug,1.397,01/01/2015,1.63,0,3.6,18.4
2016,Acre,aug,2.188,01/01/2016,1.64,0,4,20.5
2017,Acre,aug,1.493,01/01/2017,1.69,0,5.8,19
1998,Acre,sep,509,01/01/1998,1.75,0,3.1,16.1
1999,Acre,sep,209,01/01/1999,1.9,0,4,20.3
2000,Acre,sep,265,01/01/2000,1.94,0,8.5,15.2
2001,Acre,sep,290,01/01/2001,1.95,0,1.8,17.8
2002,Acre,sep,1.949,01/01/2002,2.01,0,2.2,17.8
2003,Acre,sep,3.942,01/01/2003,2.14,0,4.5,5.3
2004,Acre,sep,1.978,01/01/2004,2.29,0,0.9,16.6
2005,Acre,sep,4.253,01/01/2005,2.51,0,4.5,23.4
2006,Acre,sep,2.37,01/01/2006,2.53,0,9.4,14.6
2007,Acre,sep,2.08,01/01/2007,2.55,0,2.2,20.7
2008,Acre,sep,1.666,01/01/2008,2.57,0,1.8,21.9
2009,Acre,sep,1.265,01/01/2009,2.69,0,4,17.4
2010,Acre,sep,2.531,01/01/2010,2.74,0,5.4,20.1
2011,Acre,sep,1.204,01/01/2011,3.07,0,2.2,17.7
2012,Acre,sep,1.996,01/01/2012,3.5,0,1.8,14.2
2013,Acre,sep,2.136,01/01/2013,4.53,0,4.9,20.3
2014,Acre,sep,2.175,01/01/2014,4.61,0,5.8,5.8
2015,Acre,sep,2.928,01/01/2015,4.69,0,2.7,19.2
2016,Acre,sep,3.586,01/01/2016,4.88,0,2.2,18.3
2017,Acre,sep,3.429,01/01/2017,5.23,0,5.4,14.4
1998,Acre,oct,44,01/01/1998,5.33,0,6.7,23.9
1999,Acre,oct,60,01/01/1999,5.44,0,4,19.1
2000,Acre,oct,18,01/01/2000,6.38,0,2.2,12.4
2001,Acre,oct,137,01/01/2001,6.83,0,4.5,16.8
2002,Acre,oct,687,01/01/2002,6.96,0,4.9,20.8
2003,Acre,oct,740,01/01/2003,7.04,0,3.1,17.6
2004,Acre,oct,461,01/01/2004,7.19,0,5.8,11.5
2005,Acre,oct,547,01/01/2005,7.3,0,2.2,21
2006,Acre,oct,316,01/01/2006,7.4,0,0.9,13.3
2007,Acre,oct,203,01/01/2007,8.24,0,4,11.5
2008,Acre,oct,652,01/01/2008,8.31,0,4,11.7
2009,Acre,oct,565,01/01/2009,8.68,0,2.7,24.2
2010,Acre,oct,292,01/01/2010,8.71,0,4.5,24.6
2011,Acre,oct,97,01/01/2011,9.41,0,4,24.3
2012,Acre,oct,348,01/01/2012,10.01,0,4.5,24.6
2013,Acre,oct,258,01/01/2013,10.02,0,5.4,23.5
2014,Acre,oct,406,01/01/2014,10.93,0,5.8,5.8
2015,Acre,oct,905,01/01/2015,11.06,0,0.9,21.5
2016,Acre,oct,509,01/01/2016,11.24,0,6.3,13.9
2017,Acre,oct,1.508,01/01/2017,11.32,0,3.6,22.6
1998,Acre,nov,0,01/01/1998,11.53,0,2.2,21.6
1999,Acre,nov,0,01/01/1999,12.1,0,3.6,12.4
2000,Acre,nov,0,01/01/2000,13.05,0,2.2,8.8
2001,Acre,nov,1,01/01/2001,13.7,0,2.7,20.2
2002,Acre,nov,86,01/01/2002,13.99,0,4,15.1
2003,Acre,nov,15,01/01/2003,14.57,0,1.8,22.1
2004,Acre,nov,10,01/01/2004,15.45,0,7.2,22.9
2005,Acre,nov,14,01/01/2005,17.2,0,2.2,20.7
2006,Acre,nov,18,01/01/2006,19.23,0,6.3,19.6
2007,Acre,nov,7,01/01/2007,23.41,0,4.9,23.2
2008,Acre,nov,4,01/01/2008,24.23,0,3.1,18.4
2009,Acre,nov,33,01/01/2009,26,0,5.8,5.1
2010,Acre,nov,39,01/01/2010,26.13,0,4.9,20.1
2011,Acre,nov,74,01/01/2011,27.35,0,5.8,11
2012,Acre,nov,13,01/01/2012,28.66,0,4.9,17
2013,Acre,nov,79,01/01/2013,28.66,0,4.9,17
2014,Acre,nov,56,01/01/2014,29.48,0,1.3,16.9
2015,Acre,nov,115,01/01/2015,30.32,0,6.3,12.4
2016,Acre,nov,46,01/01/2016,31.72,0,1.3,19.4
2017,Acre,nov,98,01/01/2017,31.86,0,3.1,15.2
1998,Acre,dec,7,01/01/1998,32.07,0,3.1,16.2
1999,Acre,dec,0,01/01/1999,35.88,0,3.6,18.6
2000,Acre,dec,0,01/01/2000,36.85,0,5.8,11
2001,Acre,dec,0,01/01/2001,37.02,0,3.6,13.4
2002,Acre,dec,1,01/01/2002,37.71,0,4.5,15.4
2003,Acre,dec,1,01/01/2003,48.55,0,4.9,22.9
2004,Acre,dec,7,01/01/2004,49.37,0,4,16.1
2005,Acre,dec,2,01/01/2005,58.3,0,4.5,20.1
2006,Acre,dec,0,01/01/2006,64.1,0,3.1,28.3
2007,Acre,dec,0,01/01/2007,71.3,0,4,16.4
2008,Acre,dec,0,01/01/2008,88.49,0,4.5,26.4
2009,Acre,dec,1,01/01/2009,95.18,0,3.1,27.8
2010,Acre,dec,0,01/01/2010,103.39,0,2.7,18.7
2011,Acre,dec,4,01/01/2011,105.66,0,3.1,24.3
2012,Acre,dec,1,01/01/2012,154.88,0,3.1,17.7
2013,Acre,dec,3,01/01/2013,196.48,0,5.8,19.6
2014,Acre,dec,6,01/01/2014,200.94,0,1.8,18.2
2015,Acre,dec,8,01/01/2015,212.88,0,2.2,18.8
2016,Acre,dec,6,01/01/2016,1090.84,0,4,25.1
1998,Alagoas,jan,0,01/01/1998,0,0,1.8,13.4
1999,Alagoas,jan,58,01/01/1999,0,0,2.7,15.2
2000,Alagoas,jan,11,01/01/2000,0,0,3.1,16.7
2001,Alagoas,jan,5,01/01/2001,10.13,0,4,15.4
2002,Alagoas,jan,12,01/01/2002,0,1,7.6,21.9
2003,Alagoas,jan,150,01/01/2003,2.87,0,7.6,22.4
2004,Alagoas,jan,9,01/01/2004,0.76,0,6.3,26.8
2005,Alagoas,jan,83,01/01/2005,0.09,0,5.4,25.7
2006,Alagoas,jan,29,01/01/2006,0.75,0,2.2,20.7
2007,Alagoas,jan,33,01/01/2007,0,0,2.7,28.7
2008,Alagoas,jan,55,01/01/2008,2.47,0,0.4,21.7
2009,Alagoas,jan,104,01/01/2009,0.68,0,3.1,26.8
2010,Alagoas,jan,23,01/01/2010,0.24,0,3.1,24
2011,Alagoas,jan,41,01/01/2011,0.21,0,3.6,22.1
2012,Alagoas,jan,36,01/01/2012,1.52,0,2.7,21.4
2013,Alagoas,jan,49,01/01/2013,10.34,0,3.1,18.9
2014,Alagoas,jan,54,01/01/2014,0,0,4,22.3
2015,Alagoas,jan,81,01/01/2015,8.02,0,2.2,23.9
2016,Alagoas,jan,24,01/01/2016,0.68,0,2.7,21.4
2017,Alagoas,jan,38,01/01/2017,0,0,0.9,20.6
2017,Alagoas,jan,38,01/01/2017,1.38,0,1.8,23.7
1998,Alagoas,feb,0,01/01/1998,8.85,0,4,28.3
1999,Alagoas,feb,20,01/01/1999,3.3,0,7.6,11.2
2000,Alagoas,feb,16,01/01/2000,4.25,0,3.1,21.4
2001,Alagoas,feb,4,01/01/2001,1.56,0,3.6,19.3
2002,Alagoas,feb,15,01/01/2002,6.54,0,3.1,21.8
2003,Alagoas,feb,33,01/01/2003,0.79,0,7.6,22.1
2004,Alagoas,feb,7,01/01/2004,0.17,0,4,19.4
2005,Alagoas,feb,31,01/01/2005,0,0,3.1,23.7
2006,Alagoas,feb,14,01/01/2006,0,0,3.1,21
2007,Alagoas,feb,28,01/01/2007,4.4,0,2.7,19.1
2008,Alagoas,feb,74,01/01/2008,0.52,0,3.1,21.8
2009,Alagoas,feb,32,01/01/2009,9.27,0,4.5,20.1
2010,Alagoas,feb,26,01/01/2010,3.09,0,4,20.2
2011,Alagoas,feb,33,01/01/2011,8.98,0,8.5,4.8
2012,Alagoas,feb,41,01/01/2012,11.19,0,8,5.1
2013,Alagoas,feb,19,01/01/2013,5.38,0,4.9,5.1
2014,Alagoas,feb,29,01/01/2014,17.85,0,8.5,4.6
2015,Alagoas,feb,46,01/01/2015,10.73,0,8.5,4.6
2016,Alagoas,feb,14,01/01/2016,22.03,0,8.5,4.6
2017,Alagoas,feb,21,01/01/2017,9.77,0,8.5,4.6
1998,Alagoas,mar,0,01/01/1998,9.27,0,4.9,2.2
1999,Alagoas,mar,52,01/01/1999,24.77,0,8.5,5.1
2000,Alagoas,mar,32,01/01/2000,0,0,4,4.2
2001,Alagoas,mar,0,01/01/2001,1.1,0,3.1,8.8
2002,Alagoas,mar,27,01/01/2002,24.24,0,8,7.5
2003,Alagoas,mar,15,01/01/2003,0,0,6.3,23.4
2004,Alagoas,mar,16,01/01/2004,0,0.2,7.6,12.6
2005,Alagoas,mar,35,01/01/2005,0,0,2.7,22.1
2006,Alagoas,mar,37,01/01/2006,0,0,1.8,24.2
2007,Alagoas,mar,7,01/01/2007,0,0,1.8,24.3
2008,Alagoas,mar,31,01/01/2008,0,0,1.8,18.7
2009,Alagoas,mar,31,01/01/2009,8,0,0.9,25.3
2010,Alagoas,mar,70,01/01/2010,2.64,0,1.3,22.9
2011,Alagoas,mar,34,01/01/2011,86.45,0,5.4,26.9
2012,Alagoas,mar,44,01/01/2012,6.57,0,3.6,17.1
2013,Alagoas,mar,31,01/01/2013,0,0,1.3,22.2
2014,Alagoas,mar,28,01/01/2014,0.9,0,1.8,14.3
2015,Alagoas,mar,32,01/01/2015,0,0,2.2,15.4
2016,Alagoas,mar,9,01/01/2016,0,0,4.9,19.6
2017,Alagoas,mar,23,01/01/2017,0,0,2.7,10.6
1998,Alagoas,apr,0,01/01/1998,0,0,4.9,20.7
1999,Alagoas,apr,4,01/01/1999,3.52,0,5.4,19.1
2000,Alagoas,apr,20,01/01/2000,0,0,4.5,19.2
2001,Alagoas,apr,0,01/01/2001,0,0,4.5,19.2
2002,Alagoas,apr,6,01/01/2002,0,0,4.9,11.3
2003,Alagoas,apr,20,01/01/2003,0,0,2.2,19
2004,Alagoas,apr,6,01/01/2004,0.41,0,5.4,17.1
2005,Alagoas,apr,1,01/01/2005,5.18,0,3.6,23.8
2006,Alagoas,apr,2,01/01/2006,0,0,1.8,16
2007,Alagoas,apr,1,01/01/2007,0,0,2.2,24.9
2008,Alagoas,apr,18,01/01/2008,0,0,2.7,25.3
2009,Alagoas,apr,5,01/01/2009,14.29,0,1.8,24.8
2010,Alagoas,apr,3,01/01/2010,0,0,6.3,12.2
2011,Alagoas,apr,17,01/01/2011,0,0,4.9,24.3
2012,Alagoas,apr,18,01/01/2012,1.58,0,1.8,19.7
2013,Alagoas,apr,25,01/01/2013,0,0,2.7,18.5
2014,Alagoas,apr,16,01/01/2014,0,0,5.8,18.6
2015,Alagoas,apr,63,01/01/2015,3.78,0,4.9,19.2
2016,Alagoas,apr,13,01/01/2016,0,0,2.2,21.6
2017,Alagoas,apr,7,01/01/2017,4.41,0,6.3,21.6
1998,Alagoas,may,0,01/01/1998,34.36,0,7.2,18.9
1999,Alagoas,may,1,01/01/1999,7.21,0,4,16.8
2000,Alagoas,may,1,01/01/2000,1.01,0,4,16.8
2001,Alagoas,may,2,01/01/2001,2.18,0,2.7,12.9
2002,Alagoas,may,1,01/01/2002,4.42,0,1.8,13.7
2003,Alagoas,may,1,01/01/2003,0,0,3.1,24.2
2004,Alagoas,may,3,01/01/2004,0,0,3.1,24.1
2005,Alagoas,may,0,01/01/2005,0,0,2.2,21.2
2006,Alagoas,may,0,01/01/2006,0,0,1.8,19.7
2007,Alagoas,may,0,01/01/2007,3.33,0,4,23.5
2008,Alagoas,may,0,01/01/2008,6.58,0,3.1,24.2
2009,Alagoas,may,0,01/01/2009,15.64,0,4.5,21.5
2010,Alagoas,may,0,01/01/2010,11.22,0,2.2,17.1
2011,Alagoas,may,0,01/01/2011,2.13,0,3.1,18.1
2012,Alagoas,may,21,01/01/2012,0,0,5.4,18
2013,Alagoas,may,2,01/01/2013,0,0,1.8,9.8
2014,Alagoas,may,1,01/01/2014,0,0,2.2,19.3
2015,Alagoas,may,18,01/01/2015,56.04,0,2.2,23
2016,Alagoas,may,4,01/01/2016,7.48,0,2.2,22.7
2017,Alagoas,may,1,01/01/2017,1.47,0,1.8,20.4
1998,Alagoas,jun,0,01/01/1998,3.93,0,2.2,19.3
1999,Alagoas,jun,0,01/01/1999,0,0,2.2,15.7
2000,Alagoas,jun,0,01/01/2000,0,0,1.8,20.6
2001,Alagoas,jun,2,01/01/2001,2.18,0,4.5,15.9
2002,Alagoas,jun,0,01/01/2002,6.1,0,4.9,12.2
2003,Alagoas,jun,0,01/01/2003,5.83,0,3.1,16.8
2004,Alagoas,jun,0,01/01/2004,28.19,0,2.2,21.3
2005,Alagoas,jun,0,01/01/2005,0,0,3.6,10.1
2006,Alagoas,jun,0,01/01/2006,0,0,4.5,17.4
2007,Alagoas,jun,0,01/01/2007,1.64,0,3.6,12.8
2008,Alagoas,jun,0,01/01/2008,3.71,0,3.6,10.1
2009,Alagoas,jun,0,01/01/2009,7.31,0,6.3,15.4
2010,Alagoas,jun,0,01/01/2010,2.03,0,3.6,20.6
2011,Alagoas,jun,2,01/01/2011,1.72,0,2.7,19.8
2012,Alagoas,jun,4,01/01/2012,5.97,0,2.2,18.7
2013,Alagoas,jun,1,01/01/2013,13.06,0,4.9,20.8
2014,Alagoas,jun,2,01/01/2014,1.26,0,4.9,20.8
2015,Alagoas,jun,2,01/01/2015,0,0,3.6,15.9
2016,Alagoas,jun,5,01/01/2016,0,0,2.7,19.7
2017,Alagoas,jun,2,01/01/2017,8.12,0,2.2,21.1
1998,Alagoas,jul,0,01/01/1998,1.09,0,2.2,18.4
1999,Alagoas,jul,0,01/01/1999,3.94,0,4,17.3
2000,Alagoas,jul,0,01/01/2000,0.52,0,3.1,15.2
2001,Alagoas,jul,0,01/01/2001,2.93,0,2.2,15.9
2002,Alagoas,jul,5,01/01/2002,5.65,0,2.7,21.1
2003,Alagoas,jul,0,01/01/2003,20.03,0,3.1,19.6
2004,Alagoas,jul,0,01/01/2004,1.75,0,5.4,15.9
2005,Alagoas,jul,0,01/01/2005,0,0,3.6,16.4
2006,Alagoas,jul,0,01/01/2006,12.64,0,4.9,16.8
2007,Alagoas,jul,0,01/01/2007,0,0,7.6,13.8
2008,Alagoas,jul,0,01/01/2008,11.06,0,7.6,13.8
2009,Alagoas,jul,0,01/01/2009,0,0,4,14.2
2010,Alagoas,jul,2,01/01/2010,0,0,0.9,10.4
2011,Alagoas,jul,0,01/01/2011,0,0,2.7,20.3
2012,Alagoas,jul,0,01/01/2012,18.3,0,4,10.3
2013,Alagoas,jul,0,01/01/2013,39.35,0,4.9,15.4
2014,Alagoas,jul,1,01/01/2014,0,0,2.2,21.1
2015,Alagoas,jul,0,01/01/2015,174.63,0,2.2,21.9
2016,Alagoas,jul,3,01/01/2016,0,0,5.8,8.7
2017,Alagoas,jul,0,01/01/2017,0,0,0.9,5.2
1998,Alagoas,aug,1,01/01/1998,7.73,0,7.2,19.3
1999,Alagoas,aug,3,01/01/1999,16.33,0,2.7,16.2
2000,Alagoas,aug,4,01/01/2000,5.86,0,1.8,28.2
2001,Alagoas,aug,1,01/01/2001,42.87,0,2.7,20.5
2002,Alagoas,aug,3,01/01/2002,12.18,0,4.5,21.3
2003,Alagoas,aug,2,01/01/2003,16,0,2.2,20.9
2004,Alagoas,aug,2,01/01/2004,24.59,0,5.4,20.6
2005,Alagoas,aug,2,01/01/2005,0,0,5.4,11.6
2006,Alagoas,aug,1,01/01/2006,28.74,0,3.1,23.3
2007,Alagoas,aug,3,01/01/2007,0,0,3.1,23.3
2008,Alagoas,aug,1,01/01/2008,9.96,0,6.3,7.5
2009,Alagoas,aug,0,01/01/2009,30.18,0,2.7,20.7
2010,Alagoas,aug,1,01/01/2010,70.76,0,4,21.9
2011,Alagoas,aug,4,01/01/2011,0,0,7.6,15.2
2012,Alagoas,aug,0,01/01/2012,0,0,1.8,5.3
2013,Alagoas,aug,0,01/01/2013,51.78,0,1.8,10.1
2014,Alagoas,aug,3,01/01/2014,3.64,0,4.9,20.4
2015,Alagoas,aug,3,01/01/2015,3.63,0,3.6,24.3
2016,Alagoas,aug,5,01/01/2016,0,0,3.1,25.9
2017,Alagoas,aug,1,01/01/2017,0,0,4.5,28
1998,Alagoas,sep,14,01/01/1998,8.16,0,4.5,28
1999,Alagoas,sep,3,01/01/1999,4.95,0,4,22.8
2000,Alagoas,sep,22,01/01/2000,0,0,4,25
2001,Alagoas,sep,5,01/01/2001,0,0,3.6,21.3
2002,Alagoas,sep,14,01/01/2002,6.04,0,2.2,21.8
2003,Alagoas,sep,8,01/01/2003,0,0,2.2,27.9
2004,Alagoas,sep,5,01/01/2004,3.95,0,4.9,17
2005,Alagoas,sep,7,01/01/2005,0,0,4,14.2
2006,Alagoas,sep,4,01/01/2006,7.8,0,3.1,19.9
2007,Alagoas,sep,2,01/01/2007,0,0,5.4,23.4
2008,Alagoas,sep,9,01/01/2008,0,0,2.7,14.7
2009,Alagoas,sep,13,01/01/2009,4.62,0,9.4,8.2
2010,Alagoas,sep,5,01/01/2010,1.63,0,4.5,22.8
2011,Alagoas,sep,5,01/01/2011,0,0,3.6,26.4
2012,Alagoas,sep,6,01/01/2012,0,0,4,24.1
2013,Alagoas,sep,4,01/01/2013,746.28,0,4.9,27.5
2014,Alagoas,sep,11,01/01/2014,7.02,0,3.1,26.3
2015,Alagoas,sep,7,01/01/2015,0,0,5.8,13.8
2016,Alagoas,sep,18,01/01/2016,2.44,0,5.4,24.9
2017,Alagoas,sep,4,01/01/2017,3.05,0,4,24.8
1998,Alagoas,oct,20,01/01/1998,185.76,0,4.5,26.2
1999,Alagoas,oct,4,01/01/1999,0,0,4.5,30.8
2000,Alagoas,oct,13,01/01/2000,6.3,0,3.6,29.3
2001,Alagoas,oct,15,01/01/2001,0.72,0,4,22.3
2002,Alagoas,oct,30,01/01/2002,4.96,0,3.6,26.9
2003,Alagoas,oct,10,01/01/2003,0,0,2.2,20.4
2004,Alagoas,oct,12,01/01/2004,0,0,2.2,20.4
2005,Alagoas,oct,17,01/01/2005,2.35,0,2.2,27.9
