"","year","state","month","number","date","area","rain","wind","temp"
"75",2012,"Acre","apr",1,"01/01/2012",0,0,1.3,27.6
"76",2013,"Acre","apr",19,"01/01/2013",0,0,3.1,6.7
"77",2014,"Acre","apr",7,"01/01/2014",0,0,3.1,15.7
"78",2015,"Acre","apr",3,"01/01/2015",0,0,3.1,8.3
"79",2016,"Acre","apr",0,"01/01/2016",0,0,2.7,14.7
"80",2017,"Acre","apr",1,"01/01/2017",0,0,6.7,21.6
"81",1998,"Acre","may",0,"01/01/1998",0,0,6.3,19.5
"82",1999,"Acre","may",0,"01/01/1999",0,0,2.2,17.9
"83",2000,"Acre","may",1,"01/01/2000",0,0,4.5,18.6
"84",2001,"Acre","may",0,"01/01/2001",0,0,0.9,16.6
"85",2002,"Acre","may",0,"01/01/2002",0,0,3.6,20.2
"86",2003,"Acre","may",6,"01/01/2003",0,0,0.9,21.5
"87",2004,"Acre","may",7,"01/01/2004",0,0,2.2,25.4
"88",2005,"Acre","may",2,"01/01/2005",0,0,2.2,22.4
"89",2006,"Acre","may",8,"01/01/2006",0,0,3.6,25.3
"90",2007,"Acre","may",1,"01/01/2007",0,0,4.9,17.4
"91",2008,"Acre","may",0,"01/01/2008",0,0,5.8,14.7
"92",2009,"Acre","may",3,"01/01/2009",0,0,5.4,17.4
"93",2010,"Acre","may",9,"01/01/2010",0,0,6.3,20.8
"94",2011,"Acre","may",3,"01/01/2011",0,0,4.9,18.2
"95",2012,"Acre","may",3,"01/01/2012",0,0,2.7,23.4
"96",2013,"Acre","may",4,"01/01/2013",0,0,1.3,17.8
"97",2014,"Acre","may",1,"01/01/2014",0,0,1.8,12.7
"98",2015,"Acre","may",2,"01/01/2015",0,0,5.4,17.4
"99",2016,"Acre","may",21,"01/01/2016",0,0,4.5,11.6
"100",2017,"Acre","may",10,"01/01/2017",0,0,5.4,19.8
"101",1998,"Acre","jun",3,"01/01/1998",0,0,5.4,19.8
"102",1999,"Acre","jun",0,"01/01/1999",0,0,5.4,14.4
"103",2000,"Acre","jun",1,"01/01/2000",0,0,4,20.1
"104",2001,"Acre","jun",1,"01/01/2001",0,0,4.5,24.1
"105",2002,"Acre","jun",0,"01/01/2002",0,0,3.1,5.3
"106",2003,"Acre","jun",0,"01/01/2003",0,0,6.3,12.7
"107",2004,"Acre","jun",5,"01/01/2004",0,0,3.1,18.2
"108",2005,"Acre","jun",27,"01/01/2005",0,0,3.1,21.4
"109",2006,"Acre","jun",1,"01/01/2006",0,0,3.1,20.3
"110",2007,"Acre","jun",4,"01/01/2007",0,0,5.4,17.4
"111",2008,"Acre","jun",0,"01/01/2008",0,0,5.8,13.7
"112",2009,"Acre","jun",0,"01/01/2009",0,0,4.5,18.8
"113",2010,"Acre","jun",1,"01/01/2010",0,0,3.6,22.8
"114",2011,"Acre","jun",10,"01/01/2011",0,0,2.7,18.9
"115",2012,"Acre","jun",7,"01/01/2012",0,0,7.6,15.8
"116",2013,"Acre","jun",8,"01/01/2013",0,0,6.3,15.5
"117",2014,"Acre","jun",17,"01/01/2014",0,0,6.3,11.6
"118",2015,"Acre","jun",40,"01/01/2015",0,0,4.9,15.2
"119",2016,"Acre","jun",87,"01/01/2016",0,0,4,10.6
"120",2017,"Acre","jun",45,"01/01/2017",0,0,3.1,19.6
"121",1998,"Acre","jul",37,"01/01/1998",0,0,2.2,10.3
"122",1999,"Acre","jul",1,"01/01/1999",0,0,5.4,17.1
"123",2000,"Acre","jul",1,"01/01/2000",0,0,5.4,22.5
"124",2001,"Acre","jul",3,"01/01/2001",0,0,3.1,17.9
"125",2002,"Acre","jul",39,"01/01/2002",0,0,5.4,19.8
"126",2003,"Acre","jul",168,"01/01/2003",0,0,5.4,20.6
"127",2004,"Acre","jul",42,"01/01/2004",0,0,2.2,9
"128",2005,"Acre","jul",368,"01/01/2005",0,0,3.1,17.2
"129",2006,"Acre","jul",33,"01/01/2006",0,0,3.6,15.9
"130",2007,"Acre","jul",29,"01/01/2007",0,0,0.9,15.4
"131",2008,"Acre","jul",41,"01/01/2008",0,0,2.7,15.4
"132",2009,"Acre","jul",31,"01/01/2009",0,0,3.1,14
"133",2010,"Acre","jul",126,"01/01/2010",0,0,4.9,10.6
"134",2011,"Acre","jul",93,"01/01/2011",0,0,3.1,17.6
"135",2012,"Acre","jul",71,"01/01/2012",0,0,2.7,14.9
"136",2013,"Acre","jul",54,"01/01/2013",0,0,5.8,17.6
"137",2014,"Acre","jul",60,"01/01/2014",0,0,1.3,17.2
"138",2015,"Acre","jul",109,"01/01/2015",0,0,3.1,15.6
"139",2016,"Acre","jul",533,"01/01/2016",0.36,0,2.7,18
"140",2017,"Acre","jul",457,"01/01/2017",0.43,0,2.2,21.7
"141",1998,"Acre","aug",130,"01/01/1998",0.47,0,1.8,21.9
"142",1999,"Acre","aug",63,"01/01/1999",0.55,0,4.5,23.3
"143",2000,"Acre","aug",136,"01/01/2000",0.61,0,8.9,21.2
"144",2001,"Acre","aug",396,"01/01/2001",0.71,0,5.4,16.6
"145",2002,"Acre","aug",728,"01/01/2002",0.77,0,5.4,23.8
"146",2003,"Acre","aug",1.976,"01/01/2003",0.9,0,4,27.4
"147",2004,"Acre","aug",645,"01/01/2004",0.95,0,5.4,13.2
"148",2005,"Acre","aug",4.198,"01/01/2005",0.96,0,3.6,24.2
"149",2006,"Acre","aug",839,"01/01/2006",1.07,0,6.7,17.4
"150",2007,"Acre","aug",960,"01/01/2007",1.12,0,4.5,23.7
"151",2008,"Acre","aug",445,"01/01/2008",1.19,0,5.4,23.2
"152",2009,"Acre","aug",194,"01/01/2009",1.36,0,2.2,24.8
"153",2010,"Acre","aug",1.682,"01/01/2010",1.43,0,1.8,24.6
"154",2011,"Acre","aug",425,"01/01/2011",1.46,0,4.9,20.1
"155",2012,"Acre","aug",739,"01/01/2012",1.46,0,2.7,29.6
"156",2013,"Acre","aug",679,"01/01/2013",1.56,0,1.3,16.4
"157",2014,"Acre","aug",1.1,"01/01/2014",1.61,0,2.2,28.6
"158",2015,"Acre","aug",1.397,"01/01/2015",1.63,0,3.6,18.4
"159",2016,"Acre","aug",2.188,"01/01/2016",1.64,0,4,20.5
"160",2017,"Acre","aug",1.493,"01/01/2017",1.69,0,5.8,19
"161",1998,"Acre","sep",509,"01/01/1998",1.75,0,3.1,16.1
"162",1999,"Acre","sep",209,"01/01/1999",1.9,0,4,20.3
"163",2000,"Acre","sep",265,"01/01/2000",1.94,0,8.5,15.2
"164",2001,"Acre","sep",290,"01/01/2001",1.95,0,1.8,17.8
"165",2002,"Acre","sep",1.949,"01/01/2002",2.01,0,2.2,17.8
"166",2003,"Acre","sep",3.942,"01/01/2003",2.14,0,4.5,5.3
"167",2004,"Acre","sep",1.978,"01/01/2004",2.29,0,0.9,16.6
"168",2005,"Acre","sep",4.253,"01/01/2005",2.51,0,4.5,23.4
"169",2006,"Acre","sep",2.37,"01/01/2006",2.53,0,9.4,14.6
"170",2007,"Acre","sep",2.08,"01/01/2007",2.55,0,2.2,20.7
"171",2008,"Acre","sep",1.666,"01/01/2008",2.57,0,1.8,21.9
"172",2009,"Acre","sep",1.265,"01/01/2009",2.69,0,4,17.4
"173",2010,"Acre","sep",2.531,"01/01/2010",2.74,0,5.4,20.1
"174",2011,"Acre","sep",1.204,"01/01/2011",3.07,0,2.2,17.7
"175",2012,"Acre","sep",1.996,"01/01/2012",3.5,0,1.8,14.2
"176",2013,"Acre","sep",2.136,"01/01/2013",4.53,0,4.9,20.3
"177",2014,"Acre","sep",2.175,"01/01/2014",4.61,0,5.8,5.8
"178",2015,"Acre","sep",2.928,"01/01/2015",4.69,0,2.7,19.2
"179",2016,"Acre","sep",3.586,"01/01/2016",4.88,0,2.2,18.3
"180",2017,"Acre","sep",3.429,"01/01/2017",5.23,0,5.4,14.4
"181",1998,"Acre","oct",44,"01/01/1998",5.33,0,6.7,23.9
"182",1999,"Acre","oct",60,"01/01/1999",5.44,0,4,19.1
"183",2000,"Acre","oct",18,"01/01/2000",6.38,0,2.2,12.4
"184",2001,"Acre","oct",137,"01/01/2001",6.83,0,4.5,16.8
"185",2002,"Acre","oct",687,"01/01/2002",6.96,0,4.9,20.8
"186",2003,"Acre","oct",740,"01/01/2003",7.04,0,3.1,17.6
"187",2004,"Acre","oct",461,"01/01/2004",7.19,0,5.8,11.5
"188",2005,"Acre","oct",547,"01/01/2005",7.3,0,2.2,21
"189",2006,"Acre","oct",316,"01/01/2006",7.4,0,0.9,13.3
"190",2007,"Acre","oct",203,"01/01/2007",8.24,0,4,11.5
"191",2008,"Acre","oct",652,"01/01/2008",8.31,0,4,11.7
"192",2009,"Acre","oct",565,"01/01/2009",8.68,0,2.7,24.2
"193",2010,"Acre","oct",292,"01/01/2010",8.71,0,4.5,24.6
"194",2011,"Acre","oct",97,"01/01/2011",9.41,0,4,24.3
"195",2012,"Acre","oct",348,"01/01/2012",10.01,0,4.5,24.6
"196",2013,"Acre","oct",258,"01/01/2013",10.02,0,5.4,23.5
"197",2014,"Acre","oct",406,"01/01/2014",10.93,0,5.8,5.8
"198",2015,"Acre","oct",905,"01/01/2015",11.06,0,0.9,21.5
"199",2016,"Acre","oct",509,"01/01/2016",11.24,0,6.3,13.9
"200",2017,"Acre","oct",1.508,"01/01/2017",11.32,0,3.6,22.6
"201",1998,"Acre","nov",0,"01/01/1998",11.53,0,2.2,21.6
"202",1999,"Acre","nov",0,"01/01/1999",12.1,0,3.6,12.4
"203",2000,"Acre","nov",0,"01/01/2000",13.05,0,2.2,8.8
"204",2001,"Acre","nov",1,"01/01/2001",13.7,0,2.7,20.2
"205",2002,"Acre","nov",86,"01/01/2002",13.99,0,4,15.1
"206",2003,"Acre","nov",15,"01/01/2003",14.57,0,1.8,22.1
"207",2004,"Acre","nov",10,"01/01/2004",15.45,0,7.2,22.9
"208",2005,"Acre","nov",14,"01/01/2005",17.2,0,2.2,20.7
"209",2006,"Acre","nov",18,"01/01/2006",19.23,0,6.3,19.6
"210",2007,"Acre","nov",7,"01/01/2007",23.41,0,4.9,23.2
"211",2008,"Acre","nov",4,"01/01/2008",24.23,0,3.1,18.4
"212",2009,"Acre","nov",33,"01/01/2009",26,0,5.8,5.1
"213",2010,"Acre","nov",39,"01/01/2010",26.13,0,4.9,20.1
"214",2011,"Acre","nov",74,"01/01/2011",27.35,0,5.8,11
"215",2012,"Acre","nov",13,"01/01/2012",28.66,0,4.9,17
"216",2013,"Acre","nov",79,"01/01/2013",28.66,0,4.9,17
"217",2014,"Acre","nov",56,"01/01/2014",29.48,0,1.3,16.9
"218",2015,"Acre","nov",115,"01/01/2015",30.32,0,6.3,12.4
"219",2016,"Acre","nov",46,"01/01/2016",31.72,0,1.3,19.4
"220",2017,"Acre","nov",98,"01/01/2017",31.86,0,3.1,15.2
"221",1998,"Acre","dec",7,"01/01/1998",32.07,0,3.1,16.2
"222",1999,"Acre","dec",0,"01/01/1999",35.88,0,3.6,18.6
"223",2000,"Acre","dec",0,"01/01/2000",36.85,0,5.8,11
"224",2001,"Acre","dec",0,"01/01/2001",37.02,0,3.6,13.4
"225",2002,"Acre","dec",1,"01/01/2002",37.71,0,4.5,15.4
"226",2003,"Acre","dec",1,"01/01/2003",48.55,0,4.9,22.9
"227",2004,"Acre","dec",7,"01/01/2004",49.37,0,4,16.1
"228",2005,"Acre","dec",2,"01/01/2005",58.3,0,4.5,20.1
"229",2006,"Acre","dec",0,"01/01/2006",64.1,0,3.1,28.3
"230",2007,"Acre","dec",0,"01/01/2007",71.3,0,4,16.4
"231",2008,"Acre","dec",0,"01/01/2008",88.49,0,4.5,26.4
"232",2009,"Acre","dec",1,"01/01/2009",95.18,0,3.1,27.8
"233",2010,"Acre","dec",0,"01/01/2010",103.39,0,2.7,18.7
"234",2011,"Acre","dec",4,"01/01/2011",105.66,0,3.1,24.3
"235",2012,"Acre","dec",1,"01/01/2012",154.88,0,3.1,17.7
"236",2013,"Acre","dec",3,"01/01/2013",196.48,0,5.8,19.6
"237",2014,"Acre","dec",6,"01/01/2014",200.94,0,1.8,18.2
"238",2015,"Acre","dec",8,"01/01/2015",212.88,0,2.2,18.8
"239",2016,"Acre","dec",6,"01/01/2016",1090.84,0,4,25.1
"240",1998,"Alagoas","jan",0,"01/01/1998",0,0,1.8,13.4
"241",1999,"Alagoas","jan",58,"01/01/1999",0,0,2.7,15.2
"242",2000,"Alagoas","jan",11,"01/01/2000",0,0,3.1,16.7
"243",2001,"Alagoas","jan",5,"01/01/2001",10.13,0,4,15.4
"244",2002,"Alagoas","jan",12,"01/01/2002",0,1,7.6,21.9
"245",2003,"Alagoas","jan",150,"01/01/2003",2.87,0,7.6,22.4
"246",2004,"Alagoas","jan",9,"01/01/2004",0.76,0,6.3,26.8
"247",2005,"Alagoas","jan",83,"01/01/2005",0.09,0,5.4,25.7
"248",2006,"Alagoas","jan",29,"01/01/2006",0.75,0,2.2,20.7
"249",2007,"Alagoas","jan",33,"01/01/2007",0,0,2.7,28.7
"250",2008,"Alagoas","jan",55,"01/01/2008",2.47,0,0.4,21.7
"251",2009,"Alagoas","jan",104,"01/01/2009",0.68,0,3.1,26.8
"252",2010,"Alagoas","jan",23,"01/01/2010",0.24,0,3.1,24
"253",2011,"Alagoas","jan",41,"01/01/2011",0.21,0,3.6,22.1
"254",2012,"Alagoas","jan",36,"01/01/2012",1.52,0,2.7,21.4
"255",2013,"Alagoas","jan",49,"01/01/2013",10.34,0,3.1,18.9
"256",2014,"Alagoas","jan",54,"01/01/2014",0,0,4,22.3
"257",2015,"Alagoas","jan",81,"01/01/2015",8.02,0,2.2,23.9
"258",2016,"Alagoas","jan",24,"01/01/2016",0.68,0,2.7,21.4
"259",2017,"Alagoas","jan",38,"01/01/2017",0,0,0.9,20.6
"260",2017,"Alagoas","jan",38,"01/01/2017",1.38,0,1.8,23.7
"261",1998,"Alagoas","feb",0,"01/01/1998",8.85,0,4,28.3
"262",1999,"Alagoas","feb",20,"01/01/1999",3.3,0,7.6,11.2
"263",2000,"Alagoas","feb",16,"01/01/2000",4.25,0,3.1,21.4
"264",2001,"Alagoas","feb",4,"01/01/2001",1.56,0,3.6,19.3
"265",2002,"Alagoas","feb",15,"01/01/2002",6.54,0,3.1,21.8
"266",2003,"Alagoas","feb",33,"01/01/2003",0.79,0,7.6,22.1
"267",2004,"Alagoas","feb",7,"01/01/2004",0.17,0,4,19.4
"268",2005,"Alagoas","feb",31,"01/01/2005",0,0,3.1,23.7
"269",2006,"Alagoas","feb",14,"01/01/2006",0,0,3.1,21
"270",2007,"Alagoas","feb",28,"01/01/2007",4.4,0,2.7,19.1
"271",2008,"Alagoas","feb",74,"01/01/2008",0.52,0,3.1,21.8
"272",2009,"Alagoas","feb",32,"01/01/2009",9.27,0,4.5,20.1
"273",2010,"Alagoas","feb",26,"01/01/2010",3.09,0,4,20.2
"274",2011,"Alagoas","feb",33,"01/01/2011",8.98,0,8.5,4.8
"275",2012,"Alagoas","feb",41,"01/01/2012",11.19,0,8,5.1
"276",2013,"Alagoas","feb",19,"01/01/2013",5.38,0,4.9,5.1
"277",2014,"Alagoas","feb",29,"01/01/2014",17.85,0,8.5,4.6
"278",2015,"Alagoas","feb",46,"01/01/2015",10.73,0,8.5,4.6
"279",2016,"Alagoas","feb",14,"01/01/2016",22.03,0,8.5,4.6
"280",2017,"Alagoas","feb",21,"01/01/2017",9.77,0,8.5,4.6
"281",1998,"Alagoas","mar",0,"01/01/1998",9.27,0,4.9,2.2
"282",1999,"Alagoas","mar",52,"01/01/1999",24.77,0,8.5,5.1
"283",2000,"Alagoas","mar",32,"01/01/2000",0,0,4,4.2
"284",2001,"Alagoas","mar",0,"01/01/2001",1.1,0,3.1,8.8
"285",2002,"Alagoas","mar",27,"01/01/2002",24.24,0,8,7.5
"286",2003,"Alagoas","mar",15,"01/01/2003",0,0,6.3,23.4
"287",2004,"Alagoas","mar",16,"01/01/2004",0,0.2,7.6,12.6
"288",2005,"Alagoas","mar",35,"01/01/2005",0,0,2.7,22.1
"289",2006,"Alagoas","mar",37,"01/01/2006",0,0,1.8,24.2
"290",2007,"Alagoas","mar",7,"01/01/2007",0,0,1.8,24.3
"291",2008,"Alagoas","mar",31,"01/01/2008",0,0,1.8,18.7
"292",2009,"Alagoas","mar",31,"01/01/2009",8,0,0.9,25.3
"293",2010,"Alagoas","mar",70,"01/01/2010",2.64,0,1.3,22.9
"294",2011,"Alagoas","mar",34,"01/01/2011",86.45,0,5.4,26.9
"295",2012,"Alagoas","mar",44,"01/01/2012",6.57,0,3.6,17.1
"296",2013,"Alagoas","mar",31,"01/01/2013",0,0,1.3,22.2
"297",2014,"Alagoas","mar",28,"01/01/2014",0.9,0,1.8,14.3
"298",2015,"Alagoas","mar",32,"01/01/2015",0,0,2.2,15.4
"299",2016,"Alagoas","mar",9,"01/01/2016",0,0,4.9,19.6
"300",2017,"Alagoas","mar",23,"01/01/2017",0,0,2.7,10.6
"301",1998,"Alagoas","apr",0,"01/01/1998",0,0,4.9,20.7
"302",1999,"Alagoas","apr",4,"01/01/1999",3.52,0,5.4,19.1
"303",2000,"Alagoas","apr",20,"01/01/2000",0,0,4.5,19.2
"304",2001,"Alagoas","apr",0,"01/01/2001",0,0,4.5,19.2
"305",2002,"Alagoas","apr",6,"01/01/2002",0,0,4.9,11.3
"306",2003,"Alagoas","apr",20,"01/01/2003",0,0,2.2,19
"307",2004,"Alagoas","apr",6,"01/01/2004",0.41,0,5.4,17.1
"308",2005,"Alagoas","apr",1,"01/01/2005",5.18,0,3.6,23.8
"309",2006,"Alagoas","apr",2,"01/01/2006",0,0,1.8,16
"310",2007,"Alagoas","apr",1,"01/01/2007",0,0,2.2,24.9
"311",2008,"Alagoas","apr",18,"01/01/2008",0,0,2.7,25.3
"312",2009,"Alagoas","apr",5,"01/01/2009",14.29,0,1.8,24.8
"313",2010,"Alagoas","apr",3,"01/01/2010",0,0,6.3,12.2
"314",2011,"Alagoas","apr",17,"01/01/2011",0,0,4.9,24.3
"315",2012,"Alagoas","apr",18,"01/01/2012",1.58,0,1.8,19.7
"316",2013,"Alagoas","apr",25,"01/01/2013",0,0,2.7,18.5
"317",2014,"Alagoas","apr",16,"01/01/2014",0,0,5.8,18.6
"318",2015,"Alagoas","apr",63,"01/01/2015",3.78,0,4.9,19.2
"319",2016,"Alagoas","apr",13,"01/01/2016",0,0,2.2,21.6
"320",2017,"Alagoas","apr",7,"01/01/2017",4.41,0,6.3,21.6
"321",1998,"Alagoas","may",0,"01/01/1998",34.36,0,7.2,18.9
"322",1999,"Alagoas","may",1,"01/01/1999",7.21,0,4,16.8
"323",2000,"Alagoas","may",1,"01/01/2000",1.01,0,4,16.8
"324",2001,"Alagoas","may",2,"01/01/2001",2.18,0,2.7,12.9
"325",2002,"Alagoas","may",1,"01/01/2002",4.42,0,1.8,13.7
"326",2003,"Alagoas","may",1,"01/01/2003",0,0,3.1,24.2
"327",2004,"Alagoas","may",3,"01/01/2004",0,0,3.1,24.1
"328",2005,"Alagoas","may",0,"01/01/2005",0,0,2.2,21.2
"329",2006,"Alagoas","may",0,"01/01/2006",0,0,1.8,19.7
"330",2007,"Alagoas","may",0,"01/01/2007",3.33,0,4,23.5
"331",2008,"Alagoas","may",0,"01/01/2008",6.58,0,3.1,24.2
"332",2009,"Alagoas","may",0,"01/01/2009",15.64,0,4.5,21.5
"333",2010,"Alagoas","may",0,"01/01/2010",11.22,0,2.2,17.1
"334",2011,"Alagoas","may",0,"01/01/2011",2.13,0,3.1,18.1
"335",2012,"Alagoas","may",21,"01/01/2012",0,0,5.4,18
"336",2013,"Alagoas","may",2,"01/01/2013",0,0,1.8,9.8
"337",2014,"Alagoas","may",1,"01/01/2014",0,0,2.2,19.3
"338",2015,"Alagoas","may",18,"01/01/2015",56.04,0,2.2,23
"339",2016,"Alagoas","may",4,"01/01/2016",7.48,0,2.2,22.7
"340",2017,"Alagoas","may",1,"01/01/2017",1.47,0,1.8,20.4
"341",1998,"Alagoas","jun",0,"01/01/1998",3.93,0,2.2,19.3
"342",1999,"Alagoas","jun",0,"01/01/1999",0,0,2.2,15.7
"343",2000,"Alagoas","jun",0,"01/01/2000",0,0,1.8,20.6
"344",2001,"Alagoas","jun",2,"01/01/2001",2.18,0,4.5,15.9
"345",2002,"Alagoas","jun",0,"01/01/2002",6.1,0,4.9,12.2
"346",2003,"Alagoas","jun",0,"01/01/2003",5.83,0,3.1,16.8
"347",2004,"Alagoas","jun",0,"01/01/2004",28.19,0,2.2,21.3
"348",2005,"Alagoas","jun",0,"01/01/2005",0,0,3.6,10.1
"349",2006,"Alagoas","jun",0,"01/01/2006",0,0,4.5,17.4
"350",2007,"Alagoas","jun",0,"01/01/2007",1.64,0,3.6,12.8
"351",2008,"Alagoas","jun",0,"01/01/2008",3.71,0,3.6,10.1
"352",2009,"Alagoas","jun",0,"01/01/2009",7.31,0,6.3,15.4
"353",2010,"Alagoas","jun",0,"01/01/2010",2.03,0,3.6,20.6
"354",2011,"Alagoas","jun",2,"01/01/2011",1.72,0,2.7,19.8
"355",2012,"Alagoas","jun",4,"01/01/2012",5.97,0,2.2,18.7
"356",2013,"Alagoas","jun",1,"01/01/2013",13.06,0,4.9,20.8
"357",2014,"Alagoas","jun",2,"01/01/2014",1.26,0,4.9,20.8
"358",2015,"Alagoas","jun",2,"01/01/2015",0,0,3.6,15.9
"359",2016,"Alagoas","jun",5,"01/01/2016",0,0,2.7,19.7
"360",2017,"Alagoas","jun",2,"01/01/2017",8.12,0,2.2,21.1
"361",1998,"Alagoas","jul",0,"01/01/1998",1.09,0,2.2,18.4
"362",1999,"Alagoas","jul",0,"01/01/1999",3.94,0,4,17.3
"363",2000,"Alagoas","jul",0,"01/01/2000",0.52,0,3.1,15.2
"364",2001,"Alagoas","jul",0,"01/01/2001",2.93,0,2.2,15.9
"365",2002,"Alagoas","jul",5,"01/01/2002",5.65,0,2.7,21.1
"366",2003,"Alagoas","jul",0,"01/01/2003",20.03,0,3.1,19.6
"367",2004,"Alagoas","jul",0,"01/01/2004",1.75,0,5.4,15.9
"368",2005,"Alagoas","jul",0,"01/01/2005",0,0,3.6,16.4
"369",2006,"Alagoas","jul",0,"01/01/2006",12.64,0,4.9,16.8
"370",2007,"Alagoas","jul",0,"01/01/2007",0,0,7.6,13.8
"371",2008,"Alagoas","jul",0,"01/01/2008",11.06,0,7.6,13.8
"372",2009,"Alagoas","jul",0,"01/01/2009",0,0,4,14.2
