"","year","state","month","number","date"
"52",2009,"Acre","mar",1,"2009-01-01"
"53",2010,"Acre","mar",0,"2010-01-01"
"54",2011,"Acre","mar",0,"2011-01-01"
"55",2012,"Acre","mar",1,"2012-01-01"
"56",2013,"Acre","mar",2,"2013-01-01"
"57",2014,"Acre","mar",1,"2014-01-01"
"58",2015,"Acre","mar",2,"2015-01-01"
"59",2016,"Acre","mar",0,"2016-01-01"
"60",2017,"Acre","mar",0,"2017-01-01"
"61",1998,"Acre","apr",0,"1998-01-01"
"62",1999,"Acre","apr",0,"1999-01-01"
"63",2000,"Acre","apr",1,"2000-01-01"
"64",2001,"Acre","apr",0,"2001-01-01"
"65",2002,"Acre","apr",0,"2002-01-01"
"66",2003,"Acre","apr",1,"2003-01-01"
"67",2004,"Acre","apr",2,"2004-01-01"
"68",2005,"Acre","apr",1,"2005-01-01"
"69",2006,"Acre","apr",0,"2006-01-01"
"70",2007,"Acre","apr",0,"2007-01-01"
"71",2008,"Acre","apr",0,"2008-01-01"
"72",2009,"Acre","apr",0,"2009-01-01"
"73",2010,"Acre","apr",3,"2010-01-01"
"74",2011,"Acre","apr",2,"2011-01-01"
"75",2012,"Acre","apr",1,"2012-01-01"
"76",2013,"Acre","apr",19,"2013-01-01"
"77",2014,"Acre","apr",7,"2014-01-01"
"78",2015,"Acre","apr",3,"2015-01-01"
"79",2016,"Acre","apr",0,"2016-01-01"
"80",2017,"Acre","apr",1,"2017-01-01"
"81",1998,"Acre","may",0,"1998-01-01"
"82",1999,"Acre","may",0,"1999-01-01"
"83",2000,"Acre","may",1,"2000-01-01"
"84",2001,"Acre","may",0,"2001-01-01"
"85",2002,"Acre","may",0,"2002-01-01"
"86",2003,"Acre","may",6,"2003-01-01"
"87",2004,"Acre","may",7,"2004-01-01"
"88",2005,"Acre","may",2,"2005-01-01"
"89",2006,"Acre","may",8,"2006-01-01"
"90",2007,"Acre","may",1,"2007-01-01"
"91",2008,"Acre","may",0,"2008-01-01"
"92",2009,"Acre","may",3,"2009-01-01"
"93",2010,"Acre","may",9,"2010-01-01"
"94",2011,"Acre","may",3,"2011-01-01"
"95",2012,"Acre","may",3,"2012-01-01"
"96",2013,"Acre","may",4,"2013-01-01"
"97",2014,"Acre","may",1,"2014-01-01"
"98",2015,"Acre","may",2,"2015-01-01"
"99",2016,"Acre","may",21,"2016-01-01"
"100",2017,"Acre","may",10,"2017-01-01"
"101",1998,"Acre","jun",3,"1998-01-01"
"102",1999,"Acre","jun",0,"1999-01-01"
"103",2000,"Acre","jun",1,"2000-01-01"
"104",2001,"Acre","jun",1,"2001-01-01"
"105",2002,"Acre","jun",0,"2002-01-01"
"106",2003,"Acre","jun",0,"2003-01-01"
"107",2004,"Acre","jun",5,"2004-01-01"
"108",2005,"Acre","jun",27,"2005-01-01"
"109",2006,"Acre","jun",1,"2006-01-01"
"110",2007,"Acre","jun",4,"2007-01-01"
"111",2008,"Acre","jun",0,"2008-01-01"
"112",2009,"Acre","jun",0,"2009-01-01"
"113",2010,"Acre","jun",1,"2010-01-01"
"114",2011,"Acre","jun",10,"2011-01-01"
"115",2012,"Acre","jun",7,"2012-01-01"
"116",2013,"Acre","jun",8,"2013-01-01"
"117",2014,"Acre","jun",17,"2014-01-01"
"118",2015,"Acre","jun",40,"2015-01-01"
"119",2016,"Acre","jun",87,"2016-01-01"
"120",2017,"Acre","jun",45,"2017-01-01"
"121",1998,"Acre","jul",37,"1998-01-01"
"122",1999,"Acre","jul",1,"1999-01-01"
"123",2000,"Acre","jul",1,"2000-01-01"
"124",2001,"Acre","jul",3,"2001-01-01"
"125",2002,"Acre","jul",39,"2002-01-01"
"126",2003,"Acre","jul",168,"2003-01-01"
"127",2004,"Acre","jul",42,"2004-01-01"
"128",2005,"Acre","jul",368,"2005-01-01"
"129",2006,"Acre","jul",33,"2006-01-01"
"130",2007,"Acre","jul",29,"2007-01-01"
"131",2008,"Acre","jul",41,"2008-01-01"
"132",2009,"Acre","jul",31,"2009-01-01"
"133",2010,"Acre","jul",126,"2010-01-01"
"134",2011,"Acre","jul",93,"2011-01-01"
"135",2012,"Acre","jul",71,"2012-01-01"
"136",2013,"Acre","jul",54,"2013-01-01"
"137",2014,"Acre","jul",60,"2014-01-01"
"138",2015,"Acre","jul",109,"2015-01-01"
"139",2016,"Acre","jul",533,"2016-01-01"
"140",2017,"Acre","jul",457,"2017-01-01"
"141",1998,"Acre","aug",130,"1998-01-01"
"142",1999,"Acre","aug",63,"1999-01-01"
"143",2000,"Acre","aug",136,"2000-01-01"
"144",2001,"Acre","aug",396,"2001-01-01"
"145",2002,"Acre","aug",728,"2002-01-01"
"146",2003,"Acre","aug",1.976,"2003-01-01"
"147",2004,"Acre","aug",645,"2004-01-01"
"148",2005,"Acre","aug",4.198,"2005-01-01"
"149",2006,"Acre","aug",839,"2006-01-01"
"150",2007,"Acre","aug",960,"2007-01-01"
"151",2008,"Acre","aug",445,"2008-01-01"
"152",2009,"Acre","aug",194,"2009-01-01"
"153",2010,"Acre","aug",1.682,"2010-01-01"
"154",2011,"Acre","aug",425,"2011-01-01"
"155",2012,"Acre","aug",739,"2012-01-01"
"156",2013,"Acre","aug",679,"2013-01-01"
"157",2014,"Acre","aug",1.1,"2014-01-01"
"158",2015,"Acre","aug",1.397,"2015-01-01"
"159",2016,"Acre","aug",2.188,"2016-01-01"
"160",2017,"Acre","aug",1.493,"2017-01-01"
"161",1998,"Acre","sep",509,"1998-01-01"
"162",1999,"Acre","sep",209,"1999-01-01"
"163",2000,"Acre","sep",265,"2000-01-01"
"164",2001,"Acre","sep",290,"2001-01-01"
"165",2002,"Acre","sep",1.949,"2002-01-01"
"166",2003,"Acre","sep",3.942,"2003-01-01"
"167",2004,"Acre","sep",1.978,"2004-01-01"
"168",2005,"Acre","sep",4.253,"2005-01-01"
"169",2006,"Acre","sep",2.37,"2006-01-01"
"170",2007,"Acre","sep",2.08,"2007-01-01"
"171",2008,"Acre","sep",1.666,"2008-01-01"
"172",2009,"Acre","sep",1.265,"2009-01-01"
"173",2010,"Acre","sep",2.531,"2010-01-01"
"174",2011,"Acre","sep",1.204,"2011-01-01"
"175",2012,"Acre","sep",1.996,"2012-01-01"
"176",2013,"Acre","sep",2.136,"2013-01-01"
"177",2014,"Acre","sep",2.175,"2014-01-01"
"178",2015,"Acre","sep",2.928,"2015-01-01"
"179",2016,"Acre","sep",3.586,"2016-01-01"
"180",2017,"Acre","sep",3.429,"2017-01-01"
"181",1998,"Acre","oct",44,"1998-01-01"
"182",1999,"Acre","oct",60,"1999-01-01"
"183",2000,"Acre","oct",18,"2000-01-01"
"184",2001,"Acre","oct",137,"2001-01-01"
"185",2002,"Acre","oct",687,"2002-01-01"
"186",2003,"Acre","oct",740,"2003-01-01"
"187",2004,"Acre","oct",461,"2004-01-01"
"188",2005,"Acre","oct",547,"2005-01-01"
"189",2006,"Acre","oct",316,"2006-01-01"
"190",2007,"Acre","oct",203,"2007-01-01"
"191",2008,"Acre","oct",652,"2008-01-01"
"192",2009,"Acre","oct",565,"2009-01-01"
"193",2010,"Acre","oct",292,"2010-01-01"
"194",2011,"Acre","oct",97,"2011-01-01"
"195",2012,"Acre","oct",348,"2012-01-01"
"196",2013,"Acre","oct",258,"2013-01-01"
"197",2014,"Acre","oct",406,"2014-01-01"
"198",2015,"Acre","oct",905,"2015-01-01"
"199",2016,"Acre","oct",509,"2016-01-01"
"200",2017,"Acre","oct",1.508,"2017-01-01"
"201",1998,"Acre","nov",0,"1998-01-01"
"202",1999,"Acre","nov",0,"1999-01-01"
"203",2000,"Acre","nov",0,"2000-01-01"
"204",2001,"Acre","nov",1,"2001-01-01"
"205",2002,"Acre","nov",86,"2002-01-01"
"206",2003,"Acre","nov",15,"2003-01-01"
"207",2004,"Acre","nov",10,"2004-01-01"
"208",2005,"Acre","nov",14,"2005-01-01"
"209",2006,"Acre","nov",18,"2006-01-01"
"210",2007,"Acre","nov",7,"2007-01-01"
"211",2008,"Acre","nov",4,"2008-01-01"
"212",2009,"Acre","nov",33,"2009-01-01"
"213",2010,"Acre","nov",39,"2010-01-01"
"214",2011,"Acre","nov",74,"2011-01-01"
"215",2012,"Acre","nov",13,"2012-01-01"
"216",2013,"Acre","nov",79,"2013-01-01"
"217",2014,"Acre","nov",56,"2014-01-01"
"218",2015,"Acre","nov",115,"2015-01-01"
"219",2016,"Acre","nov",46,"2016-01-01"
"220",2017,"Acre","nov",98,"2017-01-01"
"221",1998,"Acre","dec",7,"1998-01-01"
"222",1999,"Acre","dec",0,"1999-01-01"
"223",2000,"Acre","dec",0,"2000-01-01"
"224",2001,"Acre","dec",0,"2001-01-01"
"225",2002,"Acre","dec",1,"2002-01-01"
"226",2003,"Acre","dec",1,"2003-01-01"
"227",2004,"Acre","dec",7,"2004-01-01"
"228",2005,"Acre","dec",2,"2005-01-01"
"229",2006,"Acre","dec",0,"2006-01-01"
"230",2007,"Acre","dec",0,"2007-01-01"
"231",2008,"Acre","dec",0,"2008-01-01"
"232",2009,"Acre","dec",1,"2009-01-01"
"233",2010,"Acre","dec",0,"2010-01-01"
"234",2011,"Acre","dec",4,"2011-01-01"
"235",2012,"Acre","dec",1,"2012-01-01"
"236",2013,"Acre","dec",3,"2013-01-01"
"237",2014,"Acre","dec",6,"2014-01-01"
"238",2015,"Acre","dec",8,"2015-01-01"
"239",2016,"Acre","dec",6,"2016-01-01"
"240",1998,"Alagoas","jan",0,"1998-01-01"
"241",1999,"Alagoas","jan",58,"1999-01-01"
"242",2000,"Alagoas","jan",11,"2000-01-01"
"243",2001,"Alagoas","jan",5,"2001-01-01"
"244",2002,"Alagoas","jan",12,"2002-01-01"
"245",2003,"Alagoas","jan",150,"2003-01-01"
"246",2004,"Alagoas","jan",9,"2004-01-01"
"247",2005,"Alagoas","jan",83,"2005-01-01"
"248",2006,"Alagoas","jan",29,"2006-01-01"
"249",2007,"Alagoas","jan",33,"2007-01-01"
"250",2008,"Alagoas","jan",55,"2008-01-01"
"251",2009,"Alagoas","jan",104,"2009-01-01"
"252",2010,"Alagoas","jan",23,"2010-01-01"
"253",2011,"Alagoas","jan",41,"2011-01-01"
"254",2012,"Alagoas","jan",36,"2012-01-01"
"255",2013,"Alagoas","jan",49,"2013-01-01"
"256",2014,"Alagoas","jan",54,"2014-01-01"
"257",2015,"Alagoas","jan",81,"2015-01-01"
"258",2016,"Alagoas","jan",24,"2016-01-01"
"259",2017,"Alagoas","jan",38,"2017-01-01"
"260",2017,"Alagoas","jan",38,"2017-01-01"
"261",1998,"Alagoas","feb",0,"1998-01-01"
"262",1999,"Alagoas","feb",20,"1999-01-01"
"263",2000,"Alagoas","feb",16,"2000-01-01"
"264",2001,"Alagoas","feb",4,"2001-01-01"
"265",2002,"Alagoas","feb",15,"2002-01-01"
"266",2003,"Alagoas","feb",33,"2003-01-01"
"267",2004,"Alagoas","feb",7,"2004-01-01"
"268",2005,"Alagoas","feb",31,"2005-01-01"
"269",2006,"Alagoas","feb",14,"2006-01-01"
"270",2007,"Alagoas","feb",28,"2007-01-01"
"271",2008,"Alagoas","feb",74,"2008-01-01"
"272",2009,"Alagoas","feb",32,"2009-01-01"
"273",2010,"Alagoas","feb",26,"2010-01-01"
"274",2011,"Alagoas","feb",33,"2011-01-01"
"275",2012,"Alagoas","feb",41,"2012-01-01"
"276",2013,"Alagoas","feb",19,"2013-01-01"
"277",2014,"Alagoas","feb",29,"2014-01-01"
"278",2015,"Alagoas","feb",46,"2015-01-01"
"279",2016,"Alagoas","feb",14,"2016-01-01"
"280",2017,"Alagoas","feb",21,"2017-01-01"
"281",1998,"Alagoas","mar",0,"1998-01-01"
"282",1999,"Alagoas","mar",52,"1999-01-01"
"283",2000,"Alagoas","mar",32,"2000-01-01"
"284",2001,"Alagoas","mar",0,"2001-01-01"
"285",2002,"Alagoas","mar",27,"2002-01-01"
"286",2003,"Alagoas","mar",15,"2003-01-01"
"287",2004,"Alagoas","mar",16,"2004-01-01"
"288",2005,"Alagoas","mar",35,"2005-01-01"
"289",2006,"Alagoas","mar",37,"2006-01-01"
"290",2007,"Alagoas","mar",7,"2007-01-01"
"291",2008,"Alagoas","mar",31,"2008-01-01"
"292",2009,"Alagoas","mar",31,"2009-01-01"
"293",2010,"Alagoas","mar",70,"2010-01-01"
"294",2011,"Alagoas","mar",34,"2011-01-01"
"295",2012,"Alagoas","mar",44,"2012-01-01"
"296",2013,"Alagoas","mar",31,"2013-01-01"
"297",2014,"Alagoas","mar",28,"2014-01-01"
"298",2015,"Alagoas","mar",32,"2015-01-01"
"299",2016,"Alagoas","mar",9,"2016-01-01"
"300",2017,"Alagoas","mar",23,"2017-01-01"
"301",1998,"Alagoas","apr",0,"1998-01-01"
"302",1999,"Alagoas","apr",4,"1999-01-01"
"303",2000,"Alagoas","apr",20,"2000-01-01"
"304",2001,"Alagoas","apr",0,"2001-01-01"
"305",2002,"Alagoas","apr",6,"2002-01-01"
"306",2003,"Alagoas","apr",20,"2003-01-01"
"307",2004,"Alagoas","apr",6,"2004-01-01"
"308",2005,"Alagoas","apr",1,"2005-01-01"
"309",2006,"Alagoas","apr",2,"2006-01-01"
"310",2007,"Alagoas","apr",1,"2007-01-01"
"311",2008,"Alagoas","apr",18,"2008-01-01"
"312",2009,"Alagoas","apr",5,"2009-01-01"
"313",2010,"Alagoas","apr",3,"2010-01-01"
"314",2011,"Alagoas","apr",17,"2011-01-01"
"315",2012,"Alagoas","apr",18,"2012-01-01"
"316",2013,"Alagoas","apr",25,"2013-01-01"
"317",2014,"Alagoas","apr",16,"2014-01-01"
"318",2015,"Alagoas","apr",63,"2015-01-01"
"319",2016,"Alagoas","apr",13,"2016-01-01"
"320",2017,"Alagoas","apr",7,"2017-01-01"
"321",1998,"Alagoas","may",0,"1998-01-01"
"322",1999,"Alagoas","may",1,"1999-01-01"
"323",2000,"Alagoas","may",1,"2000-01-01"
"324",2001,"Alagoas","may",2,"2001-01-01"
"325",2002,"Alagoas","may",1,"2002-01-01"
"326",2003,"Alagoas","may",1,"2003-01-01"
"327",2004,"Alagoas","may",3,"2004-01-01"
"328",2005,"Alagoas","may",0,"2005-01-01"
"329",2006,"Alagoas","may",0,"2006-01-01"
"330",2007,"Alagoas","may",0,"2007-01-01"
"331",2008,"Alagoas","may",0,"2008-01-01"
"332",2009,"Alagoas","may",0,"2009-01-01"
"333",2010,"Alagoas","may",0,"2010-01-01"
"334",2011,"Alagoas","may",0,"2011-01-01"
"335",2012,"Alagoas","may",21,"2012-01-01"
"336",2013,"Alagoas","may",2,"2013-01-01"
"337",2014,"Alagoas","may",1,"2014-01-01"
"338",2015,"Alagoas","may",18,"2015-01-01"
"339",2016,"Alagoas","may",4,"2016-01-01"
"340",2017,"Alagoas","may",1,"2017-01-01"
"341",1998,"Alagoas","jun",0,"1998-01-01"
"342",1999,"Alagoas","jun",0,"1999-01-01"
"343",2000,"Alagoas","jun",0,"2000-01-01"
"344",2001,"Alagoas","jun",2,"2001-01-01"
"345",2002,"Alagoas","jun",0,"2002-01-01"
"346",2003,"Alagoas","jun",0,"2003-01-01"
"347",2004,"Alagoas","jun",0,"2004-01-01"
"348",2005,"Alagoas","jun",0,"2005-01-01"
"349",2006,"Alagoas","jun",0,"2006-01-01"
"350",2007,"Alagoas","jun",0,"2007-01-01"
"351",2008,"Alagoas","jun",0,"2008-01-01"
"352",2009,"Alagoas","jun",0,"2009-01-01"
"353",2010,"Alagoas","jun",0,"2010-01-01"
"354",2011,"Alagoas","jun",2,"2011-01-01"
"355",2012,"Alagoas","jun",4,"2012-01-01"
"356",2013,"Alagoas","jun",1,"2013-01-01"
"357",2014,"Alagoas","jun",2,"2014-01-01"
"358",2015,"Alagoas","jun",2,"2015-01-01"
"359",2016,"Alagoas","jun",5,"2016-01-01"
"360",2017,"Alagoas","jun",2,"2017-01-01"
"361",1998,"Alagoas","jul",0,"1998-01-01"
"362",1999,"Alagoas","jul",0,"1999-01-01"
"363",2000,"Alagoas","jul",0,"2000-01-01"
"364",2001,"Alagoas","jul",0,"2001-01-01"
"365",2002,"Alagoas","jul",5,"2002-01-01"
"366",2003,"Alagoas","jul",0,"2003-01-01"
"367",2004,"Alagoas","jul",0,"2004-01-01"
"368",2005,"Alagoas","jul",0,"2005-01-01"
"369",2006,"Alagoas","jul",0,"2006-01-01"
"370",2007,"Alagoas","jul",0,"2007-01-01"
"371",2008,"Alagoas","jul",0,"2008-01-01"
"372",2009,"Alagoas","jul",0,"2009-01-01"
"373",2010,"Alagoas","jul",2,"2010-01-01"
"374",2011,"Alagoas","jul",0,"2011-01-01"
"375",2012,"Alagoas","jul",0,"2012-01-01"
"376",2013,"Alagoas","jul",0,"2013-01-01"
"377",2014,"Alagoas","jul",1,"2014-01-01"
"378",2015,"Alagoas","jul",0,"2015-01-01"
"379",2016,"Alagoas","jul",3,"2016-01-01"
"380",2017,"Alagoas","jul",0,"2017-01-01"
"381",1998,"Alagoas","aug",1,"1998-01-01"
"382",1999,"Alagoas","aug",3,"1999-01-01"
"383",2000,"Alagoas","aug",4,"2000-01-01"
"384",2001,"Alagoas","aug",1,"2001-01-01"
"385",2002,"Alagoas","aug",3,"2002-01-01"
"386",2003,"Alagoas","aug",2,"2003-01-01"
"387",2004,"Alagoas","aug",2,"2004-01-01"
"388",2005,"Alagoas","aug",2,"2005-01-01"
"389",2006,"Alagoas","aug",1,"2006-01-01"
"390",2007,"Alagoas","aug",3,"2007-01-01"
"391",2008,"Alagoas","aug",1,"2008-01-01"
"392",2009,"Alagoas","aug",0,"2009-01-01"
"393",2010,"Alagoas","aug",1,"2010-01-01"
"394",2011,"Alagoas","aug",4,"2011-01-01"
"395",2012,"Alagoas","aug",0,"2012-01-01"
"396",2013,"Alagoas","aug",0,"2013-01-01"
"397",2014,"Alagoas","aug",3,"2014-01-01"
"398",2015,"Alagoas","aug",3,"2015-01-01"
"399",2016,"Alagoas","aug",5,"2016-01-01"
"400",2017,"Alagoas","aug",1,"2017-01-01"
"401",1998,"Alagoas","sep",14,"1998-01-01"
"402",1999,"Alagoas","sep",3,"1999-01-01"
"403",2000,"Alagoas","sep",22,"2000-01-01"
"404",2001,"Alagoas","sep",5,"2001-01-01"
"405",2002,"Alagoas","sep",14,"2002-01-01"
"406",2003,"Alagoas","sep",8,"2003-01-01"
"407",2004,"Alagoas","sep",5,"2004-01-01"
"408",2005,"Alagoas","sep",7,"2005-01-01"
"409",2006,"Alagoas","sep",4,"2006-01-01"
"410",2007,"Alagoas","sep",2,"2007-01-01"
"411",2008,"Alagoas","sep",9,"2008-01-01"
"412",2009,"Alagoas","sep",13,"2009-01-01"
"413",2010,"Alagoas","sep",5,"2010-01-01"
"414",2011,"Alagoas","sep",5,"2011-01-01"
"415",2012,"Alagoas","sep",6,"2012-01-01"
"416",2013,"Alagoas","sep",4,"2013-01-01"
"417",2014,"Alagoas","sep",11,"2014-01-01"
"418",2015,"Alagoas","sep",7,"2015-01-01"
"419",2016,"Alagoas","sep",18,"2016-01-01"
"420",2017,"Alagoas","sep",4,"2017-01-01"
"421",1998,"Alagoas","oct",20,"1998-01-01"
"422",1999,"Alagoas","oct",4,"1999-01-01"
"423",2000,"Alagoas","oct",13,"2000-01-01"
"424",2001,"Alagoas","oct",15,"2001-01-01"
"425",2002,"Alagoas","oct",30,"2002-01-01"
"426",2003,"Alagoas","oct",10,"2003-01-01"
"427",2004,"Alagoas","oct",12,"2004-01-01"
"428",2005,"Alagoas","oct",17,"2005-01-01"
"429",2006,"Alagoas","oct",32,"2006-01-01"
"430",2007,"Alagoas","oct",6,"2007-01-01"
"431",2008,"Alagoas","oct",18,"2008-01-01"
"432",2009,"Alagoas","oct",30,"2009-01-01"
"433",2010,"Alagoas","oct",16,"2010-01-01"
"434",2011,"Alagoas","oct",23,"2011-01-01"
"435",2012,"Alagoas","oct",28,"2012-01-01"
"436",2013,"Alagoas","oct",25,"2013-01-01"
"437",2014,"Alagoas","oct",7,"2014-01-01"
"438",2015,"Alagoas","oct",40,"2015-01-01"
"439",2016,"Alagoas","oct",74,"2016-01-01"
"440",2017,"Alagoas","oct",14,"2017-01-01"
"441",1998,"Alagoas","nov",19,"1998-01-01"
"442",1999,"Alagoas","nov",15,"1999-01-01"
"443",2000,"Alagoas","nov",2,"2000-01-01"
"444",2001,"Alagoas","nov",22,"2001-01-01"
"445",2002,"Alagoas","nov",50,"2002-01-01"
"446",2003,"Alagoas","nov",17,"2003-01-01"
"447",2004,"Alagoas","nov",28,"2004-01-01"
"448",2005,"Alagoas","nov",25,"2005-01-01"
"449",2006,"Alagoas","nov",12,"2006-01-01"
"450",2007,"Alagoas","nov",15,"2007-01-01"
"451",2008,"Alagoas","nov",37,"2008-01-01"
"452",2009,"Alagoas","nov",55,"2009-01-01"
"453",2010,"Alagoas","nov",31,"2010-01-01"
"454",2011,"Alagoas","nov",23,"2011-01-01"
"455",2012,"Alagoas","nov",95,"2012-01-01"
"456",2013,"Alagoas","nov",10,"2013-01-01"
"457",2014,"Alagoas","nov",14,"2014-01-01"
"458",2015,"Alagoas","nov",162,"2015-01-01"
"459",2016,"Alagoas","nov",76,"2016-01-01"
"460",2017,"Alagoas","nov",10,"2017-01-01"
"461",1998,"Alagoas","dec",32,"1998-01-01"
"462",1999,"Alagoas","dec",12,"1999-01-01"
"463",2000,"Alagoas","dec",2,"2000-01-01"
"464",2001,"Alagoas","dec",30,"2001-01-01"
"465",2002,"Alagoas","dec",95,"2002-01-01"
"466",2003,"Alagoas","dec",43,"2003-01-01"
"467",2004,"Alagoas","dec",71,"2004-01-01"
"468",2005,"Alagoas","dec",16,"2005-01-01"
"469",2006,"Alagoas","dec",30,"2006-01-01"
"470",2007,"Alagoas","dec",33,"2007-01-01"
"471",2008,"Alagoas","dec",34,"2008-01-01"
"472",2009,"Alagoas","dec",55,"2009-01-01"
"473",2010,"Alagoas","dec",45,"2010-01-01"
"474",2011,"Alagoas","dec",50,"2011-01-01"
"475",2012,"Alagoas","dec",59,"2012-01-01"
"476",2013,"Alagoas","dec",42,"2013-01-01"
"477",2014,"Alagoas","dec",24,"2014-01-01"
"478",2015,"Alagoas","dec",136,"2015-01-01"
"479",2016,"Alagoas","dec",155,"2016-01-01"
"480",1998,"Amapa","jan",0,"1998-01-01"
"481",1999,"Amapa","jan",0,"1999-01-01"
"482",2000,"Amapa","jan",2,"2000-01-01"
"483",2001,"Amapa","jan",0,"2001-01-01"
"484",2002,"Amapa","jan",7,"2002-01-01"
"485",2003,"Amapa","jan",31,"2003-01-01"
"486",2004,"Amapa","jan",38,"2004-01-01"
"487",2005,"Amapa","jan",109,"2005-01-01"
"488",2006,"Amapa","jan",6,"2006-01-01"
"489",2007,"Amapa","jan",0,"2007-01-01"
"490",2008,"Amapa","jan",2,"2008-01-01"
"491",2009,"Amapa","jan",4,"2009-01-01"
"492",2010,"Amapa","jan",2,"2010-01-01"
"493",2011,"Amapa","jan",0,"2011-01-01"
"494",2012,"Amapa","jan",30,"2012-01-01"
"495",2013,"Amapa","jan",3,"2013-01-01"
"496",2014,"Amapa","jan",10,"2014-01-01"
"497",2015,"Amapa","jan",14,"2015-01-01"
"498",2016,"Amapa","jan",19,"2016-01-01"
"499",2017,"Amapa","jan",2,"2017-01-01"
"500",1998,"Amapa","feb",0,"1998-01-01"
"501",1999,"Amapa","feb",1,"1999-01-01"
"502",2000,"Amapa","feb",0,"2000-01-01"
"503",2001,"Amapa","feb",0,"2001-01-01"
"504",2002,"Amapa","feb",2,"2002-01-01"
"505",2003,"Amapa","feb",0,"2003-01-01"
"506",2004,"Amapa","feb",2,"2004-01-01"
"507",2005,"Amapa","feb",1,"2005-01-01"
"508",2006,"Amapa","feb",2,"2006-01-01"
"509",2007,"Amapa","feb",0,"2007-01-01"
"510",2008,"Amapa","feb",0,"2008-01-01"
"511",2009,"Amapa","feb",0,"2009-01-01"
"512",2010,"Amapa","feb",0,"2010-01-01"
"513",2011,"Amapa","feb",3,"2011-01-01"
"514",2012,"Amapa","feb",5,"2012-01-01"
"515",2013,"Amapa","feb",0,"2013-01-01"
"516",2014,"Amapa","feb",2,"2014-01-01"
"517",2015,"Amapa","feb",1,"2015-01-01"
"518",2016,"Amapa","feb",1,"2016-01-01"
"519",2017,"Amapa","feb",0,"2017-01-01"
"520",1998,"Amapa","mar",0,"1998-01-01"
"521",1999,"Amapa","mar",2,"1999-01-01"
"522",2000,"Amapa","mar",0,"2000-01-01"
"523",2001,"Amapa","mar",0,"2001-01-01"
"524",2002,"Amapa","mar",0,"2002-01-01"
"525",2003,"Amapa","mar",1,"2003-01-01"
"526",2004,"Amapa","mar",0,"2004-01-01"
"527",2005,"Amapa","mar",0,"2005-01-01"
"528",2006,"Amapa","mar",0,"2006-01-01"
"529",2007,"Amapa","mar",0,"2007-01-01"
"530",2008,"Amapa","mar",1,"2008-01-01"
"531",2009,"Amapa","mar",1,"2009-01-01"
"532",2010,"Amapa","mar",2,"2010-01-01"
"533",2011,"Amapa","mar",0,"2011-01-01"
"534",2012,"Amapa","mar",1,"2012-01-01"
"535",2013,"Amapa","mar",0,"2013-01-01"
"536",2014,"Amapa","mar",1,"2014-01-01"
"537",2015,"Amapa","mar",2,"2015-01-01"
